Date,DXY Curncy,EURUSD Curncy,XAU Curncy,SPA Index,MXWO Index,USGG10YR Index,USDCNH Curncy,INTC US Equity,AMD US Equity,NVDA US Equity,QCOM US Equity,TSM US Equity,XBTUSD Curncy,SPX Index,LG30TRUU Index,LGTRTRUU Index,LUATTRUU Index
28.09.2010,79.014,1.3585,1308.95,NA,1184.13,2.4653,6.615,19.505,6.95,11.971,44.0675,10.09,0.06,1147.7,786.96,204.17,1896.89
29.09.2010,78.691,1.3627,1309.8,NA,1183.96,2.5027,6.623,19.24,7.28,11.88,44.31,10.28,0.06,1144.73,788.49,204.71,1893.14
30.09.2010,78.72,1.3634,1308.54,NA,1179.19,2.5098,6.623,19.2,7.11,11.682,45.1325,10.14,0.06,1141.2,790.34,204.96,1893.29
01.10.2010,78.088,1.3791,1319.03,NA,1184.19,2.5097,NA,19.32,7.05,11.35,44.26,10.25,0.06,1146.24,792.67,205.64,1892.32
02.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04.10.2010,78.447,1.3685,1315.35,NA,1175.34,2.4758,6.6155,18.87,6.94,11.24,43.89,10.21,0.06,1137.03,793.79,205.67,1896.01
05.10.2010,77.749,1.3839,1340.54,NA,1199,2.4722,6.611,19.15,6.98,11.32,44.26,10.41,0.06,1160.75,796.97,206.71,1896.53
06.10.2010,77.386,1.393,1349.01,NA,1205.33,2.3976,6.585,19.31,6.86,10.78,44.65,10.3,0.06,1159.97,800.31,207.72,1902.27
07.10.2010,77.387,1.3926,1333.55,NA,1206.36,2.3833,6.5655,19.4,6.87,10.7,44.55,10.28,0.07,1158.06,802.5,208.11,1901.97
08.10.2010,77.325,1.3939,1346.85,NA,1209.77,2.392,6.5645,19.52,7.05,10.86,44.76,10.36,0.09,1165.15,803.46,208.53,1902.57
09.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.10.2010,77.442,1.3876,1354.15,NA,1210.44,2.3919,6.535,19.56,7.24,10.81,44.18,10.34,0.1,1165.32,803.48,208.17,NA
12.10.2010,77.363,1.3925,1350.55,NA,1207.82,2.4309,6.541,19.77,7.3,11.015,44.79,10.27,0.09,1169.77,804.4,208.04,1899.3
13.10.2010,77.071,1.3961,1372.28,NA,1222.06,2.422,6.5305,19.24,7.22,11.34,45.32,10.43,0.11,1178.1,807.99,208.48,1898.76
14.10.2010,76.647,1.4084,1381.25,NA,1226.07,2.5076,6.5055,19.32,7.139,11.16,45.04,10.37,0.1,1173.81,809.35,209.44,1893.1
15.10.2010,77.041,1.3977,1368.4,NA,1223.43,2.5597,6.503,19.32,7.12,11.2895,44.7875,10.34,0.11,1176.19,808.55,208.69,1887.67
16.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18.10.2010,76.934,1.3934,1368.6,NA,1227.86,2.5075,6.4745,19.19,6.96,11.36,44.49,10.3,0.1,1184.71,807.86,208.67,1895.01
19.10.2010,78.184,1.3727,1332,NA,1208.85,2.4752,6.4745,19.21,6.95,11.2875,44.22,10.2,0.1,1165.9,805.93,206.83,1896.85
20.10.2010,77.171,1.3964,1346.04,NA,1221.86,2.4788,6.5045,19.64,6.82,11.29,44.38,10.33,0.1,1178.17,806.85,208.49,1897.71
21.10.2010,77.418,1.392,1325.72,NA,1224.92,2.5452,6.5205,19.76,6.89,11.09,43.98,10.41,0.11,1180.26,807.77,208.16,1893.5
22.10.2010,77.472,1.3954,1328.55,NA,1222.96,2.5541,6.563,19.835,6.89,11.8,44.18,10.6,0.1,1183.08,807.69,207.48,1892.23
23.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.10.2010,77.103,1.3965,1339.91,NA,1229.69,2.5613,6.58,19.87,7.26,11.91,44.33,10.68,0.13,1185.62,810.06,208.76,1893.03
26.10.2010,77.708,1.3859,1340.54,NA,1223.8,2.6393,6.6005,20.04,7.2,11.87,43.935,10.62,0.15,1185.64,810.36,207.36,1885.32
27.10.2010,78.149,1.3769,1325.3,NA,1213.89,2.7198,6.63,20.19,7.35,12.04,44.48,10.65,0.19,1182.45,809.7,205.69,1880.09
28.10.2010,77.308,1.393,1343.91,NA,1221.35,2.6576,6.6285,20.47,7.63,12.05,44.42,10.76,0.17,1183.78,811.88,207.27,1884.72
29.10.2010,77.266,1.3947,1359.4,NA,1222.23,2.5993,6.5805,20.05,7.335,12.0205,45.16,10.91,0.19,1183.26,812.89,207.87,1890.3
30.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.10.2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01.11.2010,77.296,1.3893,1353.83,NA,1223.31,2.6229,6.5815,20.57,7.36,12.04,45.33,10.89,0.2,1184.38,813.34,207.93,1889.98
02.11.2010,76.722,1.4034,1357.5,NA,1233.98,2.5866,6.609,20.34,7.535,12.285,45.38,10.84,0.19,1193.57,815.08,208.55,1893.87
