,google,segment
2014-03-11,2.597365981052371,5
2014-03-12,2.272695233420824,5
2014-03-13,2.1644716508769752,5
2014-03-14,2.056248068333127,5
2014-03-15,1.7315773207015803,5
2014-03-16,1.6233537381577317,5
2014-03-17,1.7315773207015803,5
2014-03-18,1.8398009032454292,5
2014-03-19,1.8398009032454292,5
2014-03-20,2.056248068333127,5
2014-03-21,2.380918815964673,5
2014-03-22,1.948024485789278,5
2014-03-23,1.6233537381577317,5
2014-03-24,1.8398009032454292,5
2014-03-25,2.272695233420824,5
2014-03-26,2.272695233420824,5
2014-03-27,2.1644716508769752,5
2014-03-28,2.056248068333127,5
2014-03-29,1.7315773207015803,5
2014-03-30,1.8398009032454292,5
2014-03-31,1.948024485789278,5
2014-04-01,1.7315773207015803,5
2014-04-02,1.8398009032454292,5
2014-04-03,1.8398009032454292,5
2014-04-04,1.6233537381577317,5
2014-04-05,1.2986829905261854,5
2014-04-06,1.406906573070034,5
2014-04-07,1.5151301556138828,5
2014-04-08,1.5151301556138828,5
2014-04-09,1.7315773207015803,5
2014-04-10,2.056248068333127,5
2014-04-11,1.8398009032454292,5
2014-04-12,1.406906573070034,5
2014-04-13,1.406906573070034,5
2014-04-14,1.5151301556138828,5
2014-04-15,1.5151301556138828,5
2014-04-16,1.7315773207015803,5
2014-04-17,1.6233537381577317,5
2014-04-18,1.406906573070034,5
2014-04-19,1.406906573070034,5
2014-04-20,1.2986829905261854,5
2014-04-21,1.2986829905261854,5
2014-04-22,1.2986829905261854,5
2014-04-23,1.406906573070034,5
2014-04-24,1.406906573070034,5
2014-04-25,1.406906573070034,5
2014-04-26,1.1904594079823365,5
2014-04-27,1.0822358254384876,5
2014-04-28,1.2986829905261854,5
2014-04-29,1.2986829905261854,5
2014-04-30,1.406906573070034,5
2014-05-01,1.2986829905261854,5
2014-05-02,1.1904594079823365,5
2014-05-03,0.974012242894639,5
2014-05-04,1.0822358254384876,5
2014-05-05,1.5151301556138828,5
2014-05-06,1.1904594079823365,5
2014-05-07,1.1904594079823365,5
2014-05-08,1.1904594079823365,5
2014-05-09,1.2986829905261854,5
2014-05-10,0.974012242894639,5
2014-05-11,1.0822358254384876,5
2014-05-12,1.0822358254384876,5
2014-05-13,1.2986829905261854,5
2014-05-14,1.1904594079823365,5
2014-05-15,1.1904594079823365,5
2014-05-16,1.2986829905261854,5
2014-05-17,0.974012242894639,5
2014-05-18,0.974012242894639,5
2014-05-19,1.0822358254384876,5
2014-05-20,1.2986829905261854,5
2014-05-21,1.2986829905261854,5
2014-05-22,1.406906573070034,5
2014-05-23,1.1904594079823365,5
2014-05-24,1.0822358254384876,5
2014-05-25,1.2986829905261854,5
2014-05-26,1.406906573070034,5
2014-05-27,1.406906573070034,5
2014-05-28,1.406906573070034,5
2014-05-29,1.406906573070034,5
2014-05-30,1.5151301556138828,5
2014-05-31,1.2986829905261854,5
2014-06-01,1.406906573070034,5
2014-06-02,1.1904594079823365,5
2014-06-03,1.5151301556138828,5
2014-06-04,1.406906573070034,5
2014-06-05,1.1904594079823365,5
2014-06-06,1.1904594079823365,5
2014-06-07,1.0822358254384876,5
2014-06-08,1.0822358254384876,5
2014-06-09,1.0822358254384876,5
2014-06-10,1.1904594079823365,5
