date,price_usd,price_usd_fd,price_usd_MAVG30,wikipedia,google_tr_btc,segment,DXY,XAU,SPX,MXWO,QCOM,TSM,AMD,NVDA,High.Yield,Global.Govt,US.Govt,log.DXY,log.XAU,log.SPX,log.MXWO,log.QCOM,log.TSM,log.AMD,log.NVDA,log.High.Yield,log.Global.Govt,log.US.Govt,DXY.fd,XAU.fd,SPX.fd,MXWO.fd,QCOM.fd,TSM.fd,AMD.fd,NVDA.fd,High.Yield.fd,Global.Govt.fd,US.Govt.fd,DXY.pct,XAU.pct,SPX.pct,MXWO.pct,QCOM.pct,TSM.pct,AMD.pct,NVDA.pct,High.Yield.pct,Global.Govt.pct,US.Govt.pct,DXY.vol,XAU.vol,SPX.vol,MXWO.vol,QCOM.vol,TSM.vol,AMD.vol,NVDA.vol,High.Yield.vol,Global.Govt.vol,US.Govt.vol,new_topics,new_posts,new_members,new_posts_fd,new_posts_MAVG30,log_rtn_new_posts,block,supply,fees,new_supply,new_fees,no_users,no_miners,no_transactions,no_auto_transactions,curr_transacted,curr_auto_transacted,new_users,new_miners,new_transactions,new_auto_transactions,new_curr_transacted,new_curr_auto_transacted,no_users_sunk,no_miners_sunk,curr_sunk,new_users_sunk,new_miners_sunk,new_curr_sunk,miner_wealth,user_wealth,ns_alltime_user_wealth,ns_alltime_miner_wealth,alltime_miner_wealth,alltime_user_wealth,ns_miner_wealth,ns_user_wealth,ns_pureuser_wealth,pureuser_wealth,transformed_user_to_miner,lost_track
2015-04-05,253.04,-0.6599999999999966,266.0,3814.0,1.2918784114436288,7,96.545,1206.91,2066.96,1750.26,67.97,23.69,2.69,21.06,1078.876,204.0155,2154.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09580105318632501,0.0912784010782835,0.112545742768947,0.100090289815642,0.179759418152612,0.232651215725555,0.24259521183825,0.253313938609347,0.0327852849395757,0.0443060946172597,0.0314598114767356,361,9350,303,438.0,10287.0,0.04797766011566747,350907,14022639.802312393,31205.706035850162,3700.0,15.015947549999938,2420850,61415,59382822.0,4615961.0,867470983.2232277,2574786.113871761,5184,-11,84517.0,11463.0,199723.13696688952,4.0873728839170255e-13,872390,36839,3021384.4540010793,1384,0,1493.9449859601443,2219250.304989228,10514403.781706953,9202644.182702782,509649.70442485966,2223404.42261908,10510249.6640771,505495.5867950085,9206798.300332634,9206798.300332647,10514403.781706948,1411937,3156303.636135722
2015-04-06,257.89,4.849999999999994,266.0,4870.0,1.3678712591756068,7,96.777,1214.84,2080.62,1764.49,67.76,23.54,2.7,21.665,1080.6580000000001,205.3707,2147.36,0.002400142,0.006549007,0.006586997,0.008097348,-0.0030943809999999998,-0.0063519163,0.0037105794,0.02832255,0.001650356,0.006620666999999999,-0.003249873,0.23199999999999998,7.93,13.66,14.23,-0.21,-0.15,0.0037105794,0.02832255,0.001650356,1.3552,-0.003249873,0.002403024,0.006570498,0.006608739000000001,0.008130221,-0.003089598,-0.006331785600000001,0.0037174721000000003,0.02872745,0.0016517189999999998,0.006642633,-0.003244598,0.0961303856793219,0.0925393366419892,0.114175227259209,0.102676275397618,0.179730565522423,0.23324169474966802,0.243191550678524,0.268263650563541,0.033095895813023996,0.0475316679561996,0.0334554757793785,408,10513,467,1163.0,10284.0,0.11723624329309812,351033,14025789.802312393,31221.57407159017,3150.0,15.868035739999799,2422791,61403,59467339.0,4627424.0,867670706.3601947,2574786.113871761,1941,-12,96777.0,9064.0,339727.19769453554,-4.413582913483365e-13,873535,36840,3022339.2567438395,1145,1,954.8027427601628,2218773.6638679286,10515187.704196617,9202563.392250873,509083.0306033503,2222837.7511632307,10511123.616901312,505018.94330804865,9206627.479546176,9206627.479546174,10515187.704196626,1412445,3156303.636135722
2015-04-07,255.91,-1.9799999999999898,265.0,5788.0,1.3425403099316142,7,97.83,1209.22,2076.33,1764.24,67.315,23.39,2.7,21.86,1083.335,203.6613,2148.27,0.01082192,-0.004636857,-0.002064014,-0.000141694,-0.006588956,-0.0063925212,0.0,0.008960428000000001,0.002474131,-0.008358319,0.00042368639999999997,1.053,-5.62,-4.29,-0.25,-0.445,-0.15,0.0,0.008960428000000001,0.002474131,-1.7094,0.00042368639999999997,0.01088068,-0.0046261240000000006,-0.002061885,-0.000141684,-0.006567295999999999,-0.0063721325,0.0,0.009000692,0.002477194,-0.008323485,0.0004237762,0.101344086629717,0.0940696580448195,0.114353977745446,0.102682179166127,0.18016978833223898,0.233789165156803,0.243191550678524,0.269890053427613,0.033773566126901,0.05440966321107,0.0334086990084566,522,10673,522,160.0,10294.0,0.015104601338134013,351185,14029589.802312393,31237.31272702015,3800.0,15.738655429999865,2426311,61409,59564116.0,4636488.0,868010433.5578892,2574786.113871761,3520,6,100641.0,8235.0,390714.856293921,-4.616967027885337e-13,875162,36840,3022667.4736275296,1627,0,328.21688369009644,2219593.558506668,10519548.873772658,9206793.345008874,509705.9834016294,2223460.7039615093,10515681.728317816,505838.8379467881,9210660.490463717,9210660.490463713,10519548.873772662,1413211,3156303.636135722
2015-04-08,254.27,-1.6399999999999864,264.0,5558.0,1.3932022084195996,7,97.94,1202.57,2081.9,1766.44,67.26,23.2,2.71,22.02,1084.796,203.551,2148.44,0.001123768,-0.00551459,0.0026790259999999997,0.001246219,-0.0008173881,-0.0081563019,0.0036968619,0.007292649,0.001347705,-0.0005417322,7.913031e-05,0.11,-6.65,5.57,2.2,-0.055,-0.19,0.0036968619,0.007292649,0.001347705,-0.1103,7.913031e-05,0.0011243989999999999,-0.005499413000000001,0.002682618,0.001246996,-0.0008170541,-0.0081231295,0.0037037037,0.007319305,0.0013486129999999998,-0.0005415855,7.913344e-05,0.101383019253526,0.0959851831652835,0.114045679411537,0.10269725467721799,0.171422291219456,0.22180508836378002,0.243252301389058,0.27076716640863696,0.0336302497302993,0.0544940350930798,0.0330470569872237,465,11019,311,346.0,10257.0,0.0319038675738121,351310,14032714.802312393,31253.672027890138,3125.0,16.359300869999753,2428769,61406,59664757.0,4644723.0,868401148.4141831,2574786.113871761,2458,-3,103803.0,8260.0,446292.5422053591,-5.748444418380677e-14,876496,36840,3023195.9443286895,1334,0,528.4707011599094,2218639.2362065767,10531917.138202693,9218507.224154422,508877.6435163795,2222632.3640762595,10527924.010333013,504884.51564669784,9222500.352024104,9222500.352024104,10531917.138202673,1413928,3156303.636135722
2015-04-09,246.78,-7.490000000000009,263.0,5987.0,1.4185331576635924,7,99.155,1194.81,2091.18,1771.86,68.81,23.44,2.72,22.525,1084.415,202.2265,2141.26,0.01232924,-0.006473756,0.004447562,0.003063621,0.02278338,0.010291686,0.0036832453999999996,0.02267467,-0.0003512798,-0.006528231,-0.003347557,1.215,-7.76,9.28,5.42,1.55,0.24,0.0036832453999999996,0.02267467,-0.0003512798,-1.3245,-0.003347557,0.01240555,-0.006452846999999999,0.0044574670000000005,0.003068318,0.0230449,0.0103448276,0.0036900369,0.0229337,-0.00035121809999999996,-0.0065069690000000005,-0.00334196,0.10312080839366,0.0970673921709808,0.102498438524342,0.0887232907571667,0.18423749189084002,0.21797009535481895,0.24390974902602103,0.27453199352972,0.02981159776894,0.0578308944603194,0.0339183585592985,431,11382,287,363.0,10206.0,0.03241210467529229,351443,14036039.802312393,31272.413463970137,3324.9999999999995,18.741436080000152,2432569,61426,59768560.0,4652983.0,868847440.9563885,2574786.113871761,3800,20,102369.0,13125.0,416640.31632506725,1.8842934486932802e-12,877911,36840,3025998.8119664295,1415,0,2802.8676377399825,2220546.2314810473,10539758.908632116,9223573.91573265,510756.9112850186,2224511.6318448987,10535793.508268263,506791.51092116727,9227539.3160965,9227539.316096492,10539758.908632122,1414878,3156303.636135722
2015-04-10,240.83,-5.949999999999989,261.0,4904.0,1.3678712591756068,7,99.338,1207.59,2102.06,1779.47,69.16,23.5,2.76,22.76,1085.475,201.9996,2141.4,0.001843894,0.01063946,0.005189315999999999,0.004285725,0.005073578,0.0025564564,0.0145987994,0.01037881,0.0009770081,-0.001122639,6.537993000000001e-05,0.183,12.78,10.88,7.61,0.35,0.06,0.0145987994,0.01037881,0.0009770081,-0.2269,6.537993000000001e-05,0.001845595,0.01069626,0.005202804,0.0042949220000000005,0.00508647,0.002559727,0.0147058824,0.01043285,0.0009774856,-0.001122009,6.538206e-05,0.0972222882392909,0.0989252560830257,0.10295086630721001,0.0889323109515961,0.173754747160088,0.21110614438065398,0.236407727017634,0.276033223244113,0.0289256511014551,0.0574134405155695,0.0338739552966259,456,11470,470,88.0,10175.0,0.007701770960347253,351595,14039839.802312393,31300.149436300147,3800.0,27.73597232999981,2435724,61488,59870929.0,4666108.0,869264081.2727134,2574786.113871761,3155,62,103790.0,8417.0,445662.5704498358,-4.790100272195332e-14,879196,36840,3031660.2178789093,1285,0,5661.405912479851,2221938.134618286,10543546.229810113,9221725.193956532,512123.4919182381,2225878.212478118,10539606.15195028,508183.4140584068,9225665.271816365,9225665.271816367,10543546.229810107,1415807,3156303.636135722
2015-04-11,236.57,-4.260000000000019,259.0,3661.0,1.2412165129556434,7,99.338,1207.59,2102.06,1779.47,69.16,23.5,2.76,22.76,1085.475,201.9996,2141.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0966714213341915,0.0986646495191859,0.0970400249413336,0.0847696325190998,0.16978949027778498,0.211046046113124,0.221551273161375,0.274708632381591,0.0289133162559201,0.0568218383010523,0.0338097781066737,390,10180,392,-1290.0,10113.0,-0.11930992001890263,351735,14043339.802312393,31316.817394150123,3500.0,16.667957849999848,2440970,61470,59974719.0,4674525.0,869709743.8431634,2574786.113871761,5246,-18,93246.0,6283.0,275492.72740775114,1.2021069014004986e-13,880533,36840,3032028.1617980693,1337,0,367.94391915993765,2222831.476138367,10548044.372210106,9225928.761029504,512943.5335720783,2226698.2541319574,10544177.594216514,509076.7555784869,9229795.539023096,9229795.539023096,10548044.372210098,1416316,3156303.636135722
2015-04-12,236.38,-0.18999999999999773,257.0,3599.0,1.2158855637116506,7,99.338,1207.59,2102.06,1779.47,69.16,23.5,2.76,22.76,1085.475,201.9996,2141.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0928713704464955,0.09844833546326401,0.0950018760301205,0.0828782843800382,0.166883044443988,0.206367595728687,0.221286242693117,0.274685756432542,0.0250828501612078,0.0550176999442821,0.0337462672991168,365,10051,252,-129.0,10100.0,-0.012752879079773839,351863,14046539.802312393,31330.787464730132,3200.0,13.970070579999811,2448099,61451,60067965.0,4680808.0,869985236.5705711,2574786.113871761,7129,-19,80462.0,5587.0,210522.40986861318,-2.189177330370564e-14,881823,36840,3032632.0838176687,1290,0,603.9220195999369,2223096.483174477,10549561.951812193,9226831.558453508,513219.4996111485,2226974.2201710283,10545684.21481564,509341.76261459704,9230709.295450062,9230709.295450054,10549561.951812172,1416592,3156303.636135722
2015-04-13,236.41,0.030000000000001137,256.0,5337.0,1.3678712591756068,7,99.49,1198.88,2092.43,1772.08,68.73,23.33,2.78,22.55,1085.795,201.5338,2143.59,0.00152896,-0.00723885,-0.004591746,-0.004161569,-0.006236876,-0.0072603351,0.007220248,-0.009269543,0.00029475840000000003,-0.0023086079999999998,0.0010221730000000001,0.152,-8.71,-9.63,-7.39,-0.43,-0.17,0.007220248,-0.009269543,0.00029475840000000003,-0.4658,0.0010221730000000001,0.0015301289999999999,-0.007212713000000001,-0.00458122,-0.004152922,-0.006217467,-0.0072340426,0.007246376800000001,-0.009226714,0.00029480180000000003,-0.002305945,0.001022695,0.0930231359532255,0.101496178712638,0.0962437721612574,0.0842299210925033,0.16793200428413096,0.207267756512317,0.222231798832766,0.276011529004832,0.0250301089872787,0.0555814748030676,0.033796761086829,437,10476,277,425.0,10136.0,0.04141479460286261,352019,14050439.802312393,31348.20366044014,3900.0,17.41619570999994,2449132,61481,60148427.0,4686395.0,870195758.9804398,2574786.113871761,1033,30,108203.0,7934.0,454071.60128976346,-4.68548742595774e-13,883131,36840,3033821.9969602185,1308,0,1189.9131425498053,2213041.2528826264,10560394.174909037,9236405.82275666,503232.3619193579,2216987.0824792376,10556448.345312424,499286.53232274647,9240351.652353272,9240351.652353257,10560394.174909037,1417376,3156303.636135722
2015-04-14,227.79,-8.620000000000005,254.0,5851.0,1.4185331576635924,7,98.73299999999999,1192.78,2095.84,1779.85,68.97,23.18,2.67,22.36,1087.865,203.3915,2147.65,-0.007637899999999999,-0.0051010709999999996,0.0016283579999999999,0.004375093,0.0034858420000000003,-0.006450248100000001,-0.0403724553,-0.008461418,0.0019046220000000001,0.009175584,0.001892228,-0.757,-6.1,3.41,7.77,0.24,-0.15,-0.0403724553,-0.008461418,0.0019046220000000001,1.8577,0.001892228,-0.007608805,-0.005088082,0.001629684,0.0043846779999999995,0.003491925,-0.0064294899,-0.039568345299999995,-0.008425721,0.0019064370000000002,0.009217809,0.001894019,0.0954072522968316,0.10304760717611698,0.0962670188662091,0.0847285312451976,0.16822542045969002,0.207894825793367,0.25143888613576604,0.27703204484937,0.025192399847555003,0.0610882127286442,0.0340755402237939,377,10402,397,-74.0,10156.0,-0.0070888312945847475,352168,14054164.802312393,31364.159736930123,3725.0,15.956076489999912,2452370,61456,60256630.0,4694329.0,870649830.5817294,2574786.113871761,3238,-25,102809.0,6743.0,458120.6811113107,-8.753009679099381e-14,884394,36840,3034671.7382589485,1263,0,849.7412987300195,2213285.226649766,10568965.879841942,9244123.85825469,503480.29274216795,2217235.013302048,10565016.09318966,499530.50608988607,9248073.644906968,9248073.644906979,10568965.879841955,1417678,3156303.636135722
2015-04-15,220.4,-7.389999999999986,252.0,4953.0,1.2918784114436288,7,98.319,1202.58,2106.63,1783.79,68.46,23.51,2.7,22.63,1087.641,202.9237,2148.26,-0.004201943,0.008182532,0.005135087,0.002211223,-0.007421994,0.0141360246,0.0111733006,0.01200281,-0.0002059291,-0.002302647,0.0002839911,-0.414,9.8,10.79,3.94,-0.51,0.33,0.0111733006,0.01200281,-0.0002059291,-0.4678,0.0002839911,-0.0041931270000000005,0.0082161,0.005148294,0.00221367,-0.0073945190000000004,0.0142364107,0.0112359551,0.01207513,-0.0002059079,-0.0022999979999999997,0.0002840314,0.0939446881191135,0.10431554575299098,0.0895245553092293,0.078733662083259,0.15912467865899302,0.20620367342058601,0.253566169363625,0.277101072928486,0.0249626058041262,0.0614347983213177,0.0340523830562104,439,10470,344,68.0,10152.0,0.006515929531564773,352290,14057214.802312393,31379.677985650113,3050.0,15.518248719999786,2455286,61437,60359439.0,4701072.0,871107951.2628407,2574786.113871761,2916,-19,100495.0,7233.0,398247.62587793596,6.947947218364098e-14,885578,36840,3037029.1676295185,1184,0,2357.4293705699965,2212640.9349184157,10580593.205948384,9253467.082470307,502762.70121259795,2216517.421772478,10576716.719094323,498886.2143585366,9257343.56932437,9257343.569324367,10580593.205948392,1417929,3156303.636135722
