date,price,wikipedia,google,new_topics,new_posts,new_members,new_users,tweets
2015-04-27,218.85,8073.0,1.2412165129556434,365,10492,241,1602,39066.0
2015-04-28,224.7,11112.0,1.266547462199636,534,11088,263,2160,31957.0
2015-04-29,225.68,5887.0,1.3172093606876214,396,10428,235,2951,30639.0
2015-04-30,228.85,7118.0,1.3425403099316142,463,9876,295,1690,29720.0
2015-05-01,235.08,6228.0,1.2412165129556434,375,9638,239,2418,27237.0
2015-05-02,234.19,4881.0,1.1145617667356797,366,9126,179,3859,25012.0
2015-05-03,235.37,4888.0,1.1398927159796723,359,8951,196,6922,27042.0
2015-05-04,240.72,5140.0,1.2412165129556434,458,10142,226,2839,29448.0
2015-05-05,238.75,6053.0,1.2412165129556434,393,10470,235,-318,27820.0
2015-05-06,236.09,6110.0,1.2412165129556434,401,9531,234,2582,29624.0
2015-05-07,233.32,6227.0,1.266547462199636,358,9792,210,3624,27526.0
2015-05-08,235.98,5977.0,1.1652236652236652,364,9392,180,4385,25655.0
2015-05-09,242.98,5069.0,1.1145617667356797,363,8179,205,2276,23791.0
2015-05-10,241.63,7158.0,1.1652236652236652,454,7999,413,4895,31503.0
2015-05-11,240.85,7245.0,1.2918784114436288,376,8847,260,2162,32317.0
2015-05-12,242.35,6967.0,1.3172093606876214,366,9451,317,2472,30635.0
2015-05-13,241.84,6298.0,1.266547462199636,414,9579,268,4028,30934.0
2015-05-14,240.56,8475.0,1.4945260053955707,351,9169,247,3513,31708.0
2015-05-15,238.53,6345.0,1.266547462199636,423,9491,278,3318,42997.0
2015-05-16,237.88,7085.0,1.3172093606876214,332,8249,275,3123,32407.0
2015-05-17,236.94,5114.0,1.266547462199636,375,8321,293,4317,32810.0
2015-05-18,237.05,6494.0,1.3425403099316142,453,10053,344,6447,34624.0
2015-05-19,235.09,9019.0,1.443864106907585,454,10059,306,-223,34750.0
2015-05-20,234.29,9044.0,1.3932022084195996,448,10340,276,2370,30108.0
2015-05-21,234.42,7526.0,1.3678712591756068,405,9796,293,2640,27578.0
2015-05-22,235.84,6527.0,1.3172093606876214,5,137,4,3152,29926.0
2015-05-24,239.79,4959.0,1.2918784114436288,1,1,0,3963,27968.0
2015-05-25,240.56,5748.0,1.2412165129556434,336,5205,154,2280,30637.0
2015-05-26,237.99,6505.0,1.2918784114436288,199,4235,204,3839,34578.0
2015-05-27,237.61,7097.0,1.3425403099316142,455,9097,451,2625,29218.0
2015-05-28,237.62,6625.0,1.2158855637116506,444,8837,299,2297,23591.0
2015-05-29,237.88,7126.0,1.3172093606876214,491,8357,452,2875,24045.0
2015-05-30,235.22,8361.0,1.5451879038835559,412,7797,223,4072,23844.0
2015-05-31,233.87,5410.0,1.443864106907585,367,8086,364,2422,24048.0
2015-06-01,231.75,6405.0,1.3425403099316142,465,8624,326,963,27087.0
2015-06-02,224.65,7079.0,1.2412165129556434,451,9220,414,1911,28566.0
2015-06-03,225.62,6053.0,1.190554614467658,479,9254,640,-334,34732.0
2015-06-04,226.09,6658.0,1.2918784114436288,488,8865,373,-1917,76661.0
2015-06-05,225.45,5625.0,1.2412165129556434,426,8736,304,2766,28700.0
2015-06-06,225.47,4570.0,1.190554614467658,497,7590,246,5166,27936.0
2015-06-07,226.07,3912.0,1.2158855637116506,369,7844,234,4197,26086.0
2015-06-08,224.38,5660.0,1.1398927159796723,341,8253,273,9662,46002.0
2015-06-09,228.58,5939.0,1.2158855637116506,460,8677,319,4270,43106.0
2015-06-10,230.18,5474.0,1.2918784114436288,342,8845,332,2612,26645.0
2015-06-11,229.69,5730.0,1.266547462199636,416,8721,269,56,52355.0
2015-06-12,230.41,4543.0,1.190554614467658,356,8317,249,-2464,36988.0
2015-06-13,231.01,3214.0,1.1145617667356797,312,7324,280,-452,21875.0
2015-06-14,234.94,3222.0,1.190554614467658,321,7587,307,3485,46935.0
2015-06-15,234.14,4580.0,1.2158855637116506,371,8651,292,3267,28128.0
2015-06-16,236.98,4854.0,1.3172093606876214,438,9506,320,1126,84152.0
2015-06-17,246.68,4712.0,1.4185331576635924,440,9266,385,1793,35914.0
2015-06-18,250.58,9010.0,2.533094924399272,365,8887,235,1898,38557.0
2015-06-19,248.16,5298.0,1.5198569546395633,368,7855,245,6399,28107.0
2015-06-20,246.24,4123.0,1.4185331576635924,297,7809,221,2209,25438.0
2015-06-21,244.8,3685.0,1.2918784114436288,326,7820,260,5337,23500.0
2015-06-22,244.19,4960.0,1.3172093606876214,365,9010,340,3352,27394.0
2015-06-23,246.66,4899.0,1.2412165129556434,386,9142,363,2640,28352.0
2015-06-24,244.9,7226.0,1.266547462199636,351,9165,264,3047,36725.0
2015-06-25,242.2,5782.0,1.4185331576635924,369,8776,258,3084,26008.0
2015-06-26,243.07,4377.0,1.190554614467658,370,8392,281,5063,23984.0
2015-06-27,242.98,3592.0,1.3172093606876214,352,8141,269,3824,23636.0
2015-06-28,249.0,4077.0,1.3172093606876214,377,8124,369,4874,25663.0
2015-06-29,251.31,5551.0,1.4945260053955707,420,9592,316,3257,40197.0
2015-06-30,254.95,6390.0,1.899821193299454,451,9635,326,8531,33375.0
2015-07-01,262.37,13645.0,1.6465117008595271,386,8844,1305,2180,29052.0
2015-07-02,259.0,10097.0,1.4945260053955707,384,8864,420,4436,27119.0
2015-07-03,256.05,8900.0,1.5198569546395633,390,7880,648,4585,25771.0
2015-07-04,258.58,7897.0,1.5705188531275487,320,7608,856,5693,23847.0
2015-07-05,259.03,8579.0,1.6971735993475123,301,7956,262,6602,24976.0
2015-07-06,268.72,12143.0,1.8744902440554614,332,8673,229,4981,36903.0
2015-07-07,271.16,14539.0,1.6718426501035193,424,9035,350,7243,29915.0
2015-07-08,266.53,14427.0,1.6718426501035193,407,9288,315,8045,36474.0
2015-07-09,274.68,12306.0,1.6211807516155343,427,9350,503,5027,30281.0
2015-07-10,269.38,10127.0,1.6971735993475123,480,10361,420,1119,29616.0
2015-07-11,285.13,7117.0,1.6718426501035193,373,8295,302,8455,24645.0
2015-07-12,292.12,7410.0,1.823828345567476,383,8637,416,6036,26775.0
2015-07-13,307.26,11428.0,1.6971735993475123,497,9523,281,2025,42326.0
2015-07-14,289.22,9570.0,1.4945260053955707,393,8494,278,-2304,50267.0
2015-07-15,289.16,9499.0,1.4945260053955707,409,8381,272,2855,38595.0
2015-07-16,288.1,9473.0,1.5198569546395633,412,8329,280,4480,35125.0
2015-07-17,279.14,8641.0,1.3425403099316142,374,7485,245,3216,29831.0
2015-07-18,278.05,6400.0,1.4185331576635924,303,7041,171,3715,25985.0
2015-07-19,275.93,11200.0,1.443864106907585,375,6966,176,8396,25071.0
2015-07-20,273.69,11084.0,1.4185331576635924,398,9072,576,1444,36888.0
2015-07-21,277.54,10495.0,1.3425403099316142,426,9124,295,3625,30095.0
2015-07-22,277.66,10451.0,1.4185331576635924,457,8876,472,1526,44651.0
2015-07-23,276.76,11412.0,1.3172093606876214,359,9011,317,1003,33408.0
2015-07-24,280.17,9069.0,1.3932022084195996,365,7363,240,3241,28664.0
2015-07-25,286.01,6845.0,1.3172093606876214,349,7405,661,2065,21076.0
2015-07-26,288.34,8079.0,1.5198569546395633,303,7442,715,5414,15592.0
2015-07-27,291.47,10170.0,1.5958498023715413,396,8528,503,4058,30972.0
2015-07-28,292.7,10121.0,1.4945260053955707,430,8975,318,3589,33519.0
2015-07-29,291.9,10702.0,1.3932022084195996,390,8612,254,2767,37726.0
2015-07-30,290.83,10162.0,1.3172093606876214,415,8372,294,2231,33018.0
2015-07-31,287.88,8131.0,1.2918784114436288,381,8492,242,3761,27789.0
2015-08-01,285.02,8749.0,2.0518068887634104,448,8002,820,2076,26960.0
2015-08-02,281.18,6041.0,1.798497396323483,304,7881,710,7194,24294.0
2015-08-03,281.43,6153.0,1.5958498023715413,359,9132,374,3413,35036.0
2015-08-04,282.55,5479.0,1.5198569546395633,419,9416,248,4148,34486.0
2015-08-05,284.78,5156.0,1.3932022084195996,446,9132,268,6147,31470.0
2015-08-06,282.66,4916.0,1.3678712591756068,453,8834,283,2208,35658.0
2015-08-07,279.43,4635.0,1.3932022084195996,437,8467,372,1255,47467.0
2015-08-08,275.92,3505.0,1.3678712591756068,523,7988,331,2427,29031.0
2015-08-09,267.89,3500.0,1.3172093606876214,432,8921,310,4937,27132.0
2015-08-10,264.02,4426.0,1.3932022084195996,427,9182,306,3453,27744.0
2015-08-11,264.33,4800.0,1.2918784114436288,413,9382,296,2445,26653.0
2015-08-12,268.01,4987.0,1.3678712591756068,402,8711,290,4985,29241.0
2015-08-13,266.05,6524.0,1.3932022084195996,401,8851,281,2482,31087.0
2015-08-14,264.91,4393.0,1.266547462199636,329,8489,224,3972,30737.0
2015-08-15,265.8,3338.0,1.190554614467658,332,8024,243,2959,28722.0
2015-08-16,263.84,3518.0,1.3932022084195996,278,8093,220,5349,24050.0
2015-08-17,258.76,4773.0,1.3172093606876214,380,8697,305,898,37040.0
2015-08-18,252.11,6739.0,1.5705188531275487,458,9975,292,4492,28767.0
2015-08-19,241.71,6935.0,1.9504830917874396,453,9933,358,3054,28539.0
2015-08-20,230.14,6181.0,1.6971735993475123,380,9535,284,3573,36462.0
2015-08-21,234.01,5400.0,1.6211807516155343,374,9133,237,2792,39012.0
2015-08-22,233.09,3801.0,1.4185331576635924,334,8244,388,6429,34967.0
2015-08-23,227.41,4536.0,1.5705188531275487,296,7955,241,7399,27692.0
2015-08-24,228.45,7339.0,1.722504548591505,488,9733,358,1767,34342.0
2015-08-25,215.25,5891.0,1.798497396323483,353,9977,313,4885,37941.0
2015-08-26,219.01,5667.0,1.5451879038835559,375,9536,329,1310,33987.0
2015-08-27,226.32,4935.0,1.3678712591756068,418,9008,357,7195,34558.0
2015-08-28,226.6,4292.0,1.3425403099316142,331,8364,347,6415,39945.0
2015-08-29,230.39,3771.0,1.4185331576635924,383,8120,372,1460,14768.0
2015-08-30,230.08,3976.0,1.443864106907585,365,7712,560,4362,32134.0
2015-08-31,228.79,5041.0,1.3172093606876214,372,8820,625,481,35949.0
2015-09-01,230.45,5792.0,1.3678712591756068,393,9130,313,910,37021.0
2015-09-02,229.36,5351.0,1.3678712591756068,365,9223,244,4607,39013.0
2015-09-03,229.03,5071.0,1.266547462199636,405,9460,285,2250,42474.0
2015-09-04,228.22,4257.0,1.266547462199636,365,8808,333,2681,36321.0
2015-09-05,230.52,3189.0,1.266547462199636,309,8038,297,936,29023.0
2015-09-06,234.14,3376.0,1.2412165129556434,370,8277,321,4488,35583.0
2015-09-07,240.17,4324.0,1.2158855637116506,342,9370,295,2598,38792.0
2015-09-08,240.43,5249.0,1.2918784114436288,375,9775,255,3681,46889.0
2015-09-09,243.59,5276.0,1.3425403099316142,319,9626,344,1364,16909.0
2015-09-10,240.26,5148.0,1.3425403099316142,364,9924,273,1162,37882.0
2015-09-11,239.02,4869.0,1.2918784114436288,350,9405,229,4210,38518.0
2015-09-12,238.35,3520.0,1.2412165129556434,303,8293,248,6039,32205.0
2015-09-13,236.7,3705.0,1.2412165129556434,309,8764,265,5485,40350.0
2015-09-14,231.66,5384.0,1.266547462199636,336,10234,251,1630,16262.0
2015-09-15,230.23,5273.0,1.2918784114436288,370,9867,268,5548,20470.0
2015-09-16,230.4,5422.0,1.3172093606876214,347,10085,249,3823,45085.0
2015-09-17,229.78,5342.0,1.3678712591756068,356,9498,264,8205,33180.0
2015-09-18,233.01,5995.0,1.4945260053955707,378,8914,207,2507,31747.0
2015-09-19,233.06,3810.0,1.2918784114436288,237,7582,254,-1063,39778.0
2015-09-20,232.09,3857.0,1.190554614467658,294,8224,204,6056,65535.0
2015-09-21,231.68,5673.0,1.266547462199636,347,9527,224,202,59563.0
2015-09-22,229.18,6430.0,1.443864106907585,410,9867,265,3436,82378.0
2015-09-23,230.49,37796.0,1.3425403099316142,357,8850,239,2513,42946.0
2015-09-24,230.88,5583.0,1.3172093606876214,395,8989,233,2605,46527.0
2015-09-25,234.34,7094.0,1.3172093606876214,381,8861,233,2093,41322.0
2015-09-26,235.38,4079.0,1.2918784114436288,316,8373,241,-236,41039.0
2015-09-27,235.73,4132.0,1.266547462199636,322,8176,198,4466,30532.0
2015-09-28,233.55,5366.0,1.2918784114436288,366,8682,211,2900,35355.0
2015-09-29,238.39,5567.0,1.2918784114436288,356,9438,252,3689,40135.0
2015-09-30,237.95,5753.0,1.2918784114436288,331,9607,232,6138,43080.0
2015-10-01,237.2,5308.0,1.2158855637116506,375,9203,230,3063,41189.0
2015-10-02,238.9,4819.0,1.2412165129556434,367,9032,241,1268,35561.0
2015-10-03,237.91,3799.0,1.2158855637116506,309,8290,185,1854,49494.0
2015-10-04,239.33,4251.0,1.2412165129556434,311,8269,214,10407,33909.0
2015-10-05,239.55,5919.0,1.3425403099316142,368,9027,228,4185,32712.0
2015-10-06,240.01,8092.0,1.4185331576635924,379,9130,288,-41,39541.0
2015-10-07,245.88,6835.0,1.3172093606876214,349,8526,266,4081,38773.0
2015-10-08,244.84,5671.0,1.3678712591756068,343,9267,332,3686,35461.0
2015-10-09,243.91,5565.0,1.2918784114436288,360,8380,291,7155,30426.0
2015-10-10,244.77,4562.0,1.2158855637116506,315,7661,284,3910,29433.0
2015-10-11,245.82,4752.0,1.2412165129556434,328,8002,276,8799,27940.0
2015-10-12,249.43,5988.0,1.2918784114436288,372,8747,290,-70,34146.0
2015-10-13,246.25,5731.0,1.2918784114436288,408,8992,374,4798,31813.0
2015-10-14,249.49,7255.0,1.3425403099316142,385,8480,880,927,28030.0
2015-10-15,253.14,5408.0,1.2918784114436288,364,8618,2016,5134,37296.0
2015-10-16,255.27,5084.0,1.3678712591756068,363,8619,1197,2066,36070.0
2015-10-17,264.73,3919.0,1.4185331576635924,336,9095,1724,3648,31701.0
2015-10-18,269.65,4111.0,1.3678712591756068,358,8557,1518,5422,25220.0
2015-10-19,264.74,6278.0,1.3425403099316142,414,9062,1519,2778,35703.0
2015-10-20,264.43,5995.0,1.4691950561515779,397,8988,1326,7172,42914.0
2015-10-21,270.15,5703.0,1.4185331576635924,442,8816,3846,4189,38896.0
2015-10-22,272.37,6141.0,1.4945260053955707,474,9195,5047,5479,44027.0
2015-10-23,273.89,5772.0,1.5198569546395633,463,8754,4808,7040,37326.0
2015-10-24,277.57,4204.0,1.4691950561515779,409,8468,5166,1793,36013.0
2015-10-25,281.75,4814.0,1.5451879038835559,441,9209,4090,1212,30139.0
2015-10-26,288.55,6647.0,1.4691950561515779,541,9311,6600,6608,37096.0
2015-10-27,293.23,6508.0,1.5958498023715413,581,9670,5491,10926,50484.0
2015-10-28,294.32,6736.0,1.6465117008595271,588,10317,6194,5436,45782.0
2015-10-29,302.13,6750.0,1.823828345567476,491,10471,5000,3951,45960.0
2015-10-30,311.67,6559.0,1.9758140410314324,468,10295,5768,7726,32577.0
2015-10-31,326.27,4270.0,1.7478354978354977,427,9158,3143,5496,35257.0
2015-11-01,334.23,5066.0,1.7478354978354977,391,8357,492,-3902,31402.0
2015-11-02,320.98,6956.0,1.9475881261595547,532,9749,1091,4877,35962.0
2015-11-03,347.73,7919.0,2.746598639455782,618,12169,2339,11532,42652.0
2015-11-04,392.01,9399.0,3.745361781076066,716,13606,1893,5751,54768.0
2015-11-05,438.82,10587.0,3.19604205318491,633,10176,1844,8678,51405.0
2015-11-06,393.37,7167.0,2.3970315398886823,382,6837,1242,2352,43351.0
2015-11-07,372.47,5051.0,1.997526283240569,467,8982,2082,2892,36433.0
2015-11-08,384.45,6020.0,1.7478354978354977,438,8984,1315,27631,39567.0
2015-11-09,379.37,8518.0,2.0474644403215834,520,9135,1888,6540,45103.0
2015-11-10,378.42,7874.0,1.9475881261595547,580,9169,1752,5604,43853.0
2015-11-11,346.11,5780.0,1.8976499690785404,463,9022,2671,5780,34774.0
2015-11-12,314.08,6733.0,1.6978973407544835,469,8792,1364,5686,38371.0
2015-11-13,330.86,6108.0,1.598021026592455,479,7959,1234,5358,35364.0
2015-11-14,334.88,3789.0,1.3982683982683983,373,7801,475,3978,30226.0
