date,price,wikipedia,google,new_users,new_miners,new_transactions,new_curr_transacted,tweets
2014-07-26,600.16,5614.0,0.9989869157893735,1596,25,52320.0,138136.212197062,16000.0
2014-07-27,595.1,5092.0,1.048936261578842,5135,81,46228.0,98598.30113012037,15621.0
2014-07-28,592.2,7276.0,1.0988856073683109,1969,-41,59484.0,200574.07229280518,23384.0
2014-07-29,583.73,7082.0,1.123860280263045,2658,23,57161.0,239466.20216600198,21797.0
2014-07-30,582.82,8687.0,1.198784298947248,2296,23,60624.0,224172.69818897816,22092.0
2014-07-31,571.0,8389.0,1.198784298947248,2174,-21,62068.0,176038.05042748203,22160.0
2014-08-01,578.48,6958.0,0.9989869157893735,2492,84,61898.0,242191.71212494338,21585.0
2014-08-02,594.19,4795.0,0.9490375699999047,1631,12,50590.0,132101.08428555419,18531.0
2014-08-03,587.64,4926.0,1.0988856073683109,5328,44,49323.0,203309.69138460507,17187.0
2014-08-04,585.39,6379.0,1.0239615886841076,2802,-30,62141.0,197062.01068058488,20609.0
2014-08-05,587.23,7069.0,1.0988856073683109,3779,-21,66696.0,302814.2557159613,21073.0
2014-08-06,584.01,8259.0,1.2237589718419823,2647,32,72815.0,207362.6791595113,22471.0
2014-08-07,583.18,7214.0,1.3486323363156538,2047,-59,64786.0,176536.00251601485,24516.0
2014-08-08,586.43,6095.0,1.1738096260525137,2700,64,61304.0,193215.585819184,23126.0
2014-08-09,590.94,5088.0,1.0739109344735764,2048,38,56032.0,192857.1912460647,21820.0
2014-08-10,588.25,4948.0,1.0739109344735764,5244,19,52924.0,145033.81813372788,20814.0
2014-08-11,589.48,7535.0,1.198784298947248,2705,11,67952.0,220784.14601691827,21388.0
2014-08-12,578.94,8595.0,1.1488349531577795,2423,26,70238.0,266745.1376018849,22551.0
2014-08-13,555.19,9652.0,1.6982777568419347,2575,-31,68605.0,253952.53170808675,23725.0
2014-08-14,548.18,8916.0,1.49848037368406,3050,101,73948.0,276179.3821066624,24887.0
2014-08-15,515.44,6824.0,1.3736070092103883,550,-85,66326.0,246958.1264274543,22725.0
2014-08-16,499.4,7344.0,1.3236576634209196,6341,-73,62327.0,244898.37412156488,23487.0
2014-08-17,510.15,5660.0,1.198784298947248,7820,10,54736.0,190733.12353677247,22608.0
2014-08-18,496.57,7390.0,1.4735057007893257,2581,-2,65757.0,387536.1973664064,21867.0
2014-08-19,465.59,7144.0,1.2986829905261854,743,5,67569.0,243643.6719167413,24106.0
2014-08-20,481.54,8406.0,1.273708317631451,2144,19,67069.0,215619.19890023264,26924.0
2014-08-21,504.05,7258.0,1.198784298947248,3156,46,66013.0,282455.222313097,22176.0
2014-08-22,519.8,7221.0,1.2487336447367166,2659,33,61047.0,375893.5696537032,21222.0
2014-08-23,512.16,4755.0,1.123860280263045,1102,36,52927.0,163495.63119444592,17389.0
2014-08-24,500.74,5137.0,1.1738096260525137,6296,-10,52112.0,143282.05384455135,16318.0
2014-08-25,507.97,6206.0,1.0739109344735764,1687,-38,62683.0,245753.7551661269,19062.0
2014-08-26,503.12,7841.0,1.1488349531577795,2722,17,65877.0,311572.2136400629,19596.0
2014-08-27,510.97,5556.0,1.0739109344735764,2335,1,68029.0,284697.74707367795,19625.0
2014-08-28,508.96,5556.0,1.048936261578842,2884,6,61921.0,193361.79858834465,22229.0
2014-08-29,509.12,6778.0,1.0739109344735764,131,-1701,62468.0,232959.98496810615,19838.0
2014-08-30,508.91,5503.0,1.0239615886841076,2111,14,55259.0,168740.04235677485,18905.0
2014-08-31,502.63,6395.0,1.048936261578842,5432,0,51086.0,141180.46514622474,17226.0
2014-09-01,482.43,9522.0,1.2986829905261854,3384,-9,61365.0,212278.05879096928,18661.0
2014-09-02,478.48,11936.0,1.1488349531577795,2281,25,63955.0,212218.9545604905,22901.0
2014-09-03,477.75,10171.0,1.2237589718419823,2048,-2,64743.0,213046.83964421702,22113.0
2014-09-04,476.97,10445.0,1.198784298947248,1066,-15,63698.0,210987.12078993735,24968.0
2014-09-05,487.62,10107.0,1.198784298947248,2965,94,62348.0,230815.08923663982,22368.0
2014-09-06,483.33,5947.0,1.0988856073683109,2194,118,55296.0,147299.79006242828,21053.0
2014-09-07,482.07,5350.0,1.0739109344735764,8117,17,53851.0,159326.41399591873,17730.0
2014-09-08,482.93,6875.0,1.1738096260525137,2384,2,69908.0,253388.10540428892,22751.0
2014-09-09,472.59,8810.0,1.3486323363156538,2189,-31,73470.0,273722.6369971111,16169.0
2014-09-10,470.93,9268.0,1.5484297194735286,2106,-10,66081.0,224948.49691895183,16616.0
2014-09-11,480.79,9997.0,1.6982777568419347,2437,15,58853.0,183324.20281591086,27367.0
2014-09-12,475.53,9024.0,1.2986829905261854,2843,-27,61633.0,210597.99150803665,24097.0
2014-09-13,474.44,5268.0,1.048936261578842,2637,44,55352.0,127254.33412427804,18209.0
2014-09-14,478.16,5930.0,1.198784298947248,7633,30,59645.0,158267.18298424222,18671.0
2014-09-15,477.25,8330.0,1.1738096260525137,1553,-20,71990.0,218118.5716843203,23392.0
2014-09-16,473.9,7930.0,1.0739109344735764,5258,-91,78441.0,198400.52204571,21176.0
2014-09-17,455.35,7754.0,1.1488349531577795,709,3,72052.0,248696.44301400828,27946.0
2014-09-18,454.89,7549.0,1.1738096260525137,2780,-18,69699.0,352057.2575568601,21135.0
2014-09-19,426.72,6575.0,1.3985816821051225,1943,1,62352.0,317053.9086451505,20775.0
2014-09-20,398.59,5115.0,1.0739109344735764,1445,35,56628.0,325804.1623252213,17607.0
2014-09-21,408.04,6035.0,1.0739109344735764,6021,16,51835.0,185501.11731005492,17026.0
2014-09-22,402.66,7362.0,1.123860280263045,1310,36,65978.0,204811.64822076217,14984.0
2014-09-23,399.96,8023.0,1.3236576634209196,-358,2,69097.0,264406.618841024,23489.0
2014-09-24,425.2,9988.0,1.5484297194735286,3161,-14,66935.0,212828.3632146401,20675.0
2014-09-25,425.22,8054.0,1.198784298947248,2458,-62,70224.0,223818.42266900468,20757.0
2014-09-26,410.39,6496.0,1.123860280263045,1960,-5,66032.0,235170.55038860894,19512.0
2014-09-27,399.63,4754.0,1.0239615886841076,1174,44,56116.0,171301.60938672238,17202.0
2014-09-28,400.86,4968.0,1.0988856073683109,6784,20,56045.0,171070.06610266902,16636.0
2014-09-29,384.12,7523.0,1.273708317631451,2659,-9,70623.0,326615.0865461036,19660.0
2014-09-30,376.68,7289.0,1.198784298947248,4519,21,69645.0,289700.8720570829,21073.0
2014-10-01,384.7,7690.0,1.0739109344735764,4240,133,70857.0,273604.5327163832,18636.0
2014-10-02,373.14,7319.0,1.1488349531577795,1756,57,63830.0,244353.91594002172,18380.0
2014-10-03,375.96,6609.0,1.1738096260525137,3897,-41,66351.0,232090.98646441122,20207.0
2014-10-04,362.11,5086.0,1.198784298947248,5848,87,58542.0,228263.11695229358,18214.0
2014-10-05,334.94,5626.0,1.573404392368263,10200,41,59836.0,389208.96600385703,20031.0
2014-10-06,315.09,8629.0,1.7482271026314031,4151,3,69761.0,363247.6258687922,25065.0
2014-10-07,333.68,8411.0,1.4735057007893257,3768,3,71093.0,320958.34784065717,22543.0
2014-10-08,331.0,7938.0,1.2986829905261854,3905,-25,71426.0,328429.36385375523,24408.0
2014-10-09,345.6,7533.0,1.273708317631451,3896,13,72706.0,322386.8478633965,24075.0
2014-10-10,366.31,6694.0,1.1738096260525137,5054,9,73093.0,440730.71214089147,19090.0
2014-10-11,359.67,5091.0,1.123860280263045,2619,17,58952.0,297881.3332221232,17107.0
2014-10-12,366.33,5178.0,1.0988856073683109,8590,26,58321.0,210328.9983638572,17072.0
2014-10-13,369.74,7605.0,1.0988856073683109,2253,-39,70135.0,293430.3423429602,22018.0
2014-10-14,383.29,8261.0,1.3236576634209196,3035,-36,74248.0,320344.8658875195,25804.0
2014-10-15,402.46,7663.0,1.3236576634209196,4285,33,68001.0,339542.0511722014,23992.0
