Fr	07/18/2014	628.8600
Th	07/17/2014	623.0275
We	07/16/2014	619.4700
Tu	07/15/2014	621.7401
Mo	07/14/2014	622.0826
		
Fr	07/11/2014	633.6775
Th	07/10/2014	618.0475
We	07/09/2014	624.1400
Tu	07/08/2014	624.8076
Mo	07/07/2014	623.9151
		
Fr	07/04/2014	634.8750
Th	07/03/2014	642.8726
We	07/02/2014	648.2175
Tu	07/01/2014	643.3325
Mo	06/30/2014	646.9650
		
Fr	06/27/2014	576.5250
Th	06/26/2014	571.5900
We	06/25/2014	570.4250
Tu	06/24/2014	585.2300
Mo	06/23/2014	586.9700
		
Fr	06/20/2014	594.4700
Th	06/19/2014	604.8700
We	06/18/2014	605.3225
Tu	06/17/2014	606.3900
Mo	06/16/2014	592.8101
		
Fr	06/13/2014	582.3700
Th	06/12/2014	591.0076
We	06/11/2014	634.4426
Tu	06/10/2014	645.3400
Mo	06/09/2014	646.1951
		
Fr	06/06/2014	652.6450
Th	06/05/2014	659.9875
We	06/04/2014	648.9900
Tu	06/03/2014	671.8300
Mo	06/02/2014	655.2700
		
Fr	05/30/2014	613.9200
Th	05/29/2014	568.6175
We	05/28/2014	570.6650
Tu	05/27/2014	577.5400
Mo	05/26/2014	581.8101
		
Fr	05/23/2014	532.4751
Th	05/22/2014	522.3051
We	05/21/2014	494.1801
Tu	05/20/2014	489.4299
Mo	05/19/2014	449.0551
		
Fr	05/16/2014	449.6750
Th	05/15/2014	447.3750
We	05/14/2014	448.3051
Tu	05/13/2014	437.5549
Mo	05/12/2014	441.4401
		
Fr	05/09/2014	452.2900
Th	05/08/2014	441.8000
We	05/07/2014	447.4551
Tu	05/06/2014	427.6600
Mo	05/05/2014	430.3350
		
Fr	05/02/2014	451.5100
Th	05/01/2014	460.9250
We	04/30/2014	448.2350
Tu	04/29/2014	447.8101
Mo	04/28/2014	439.1701
		
Fr	04/25/2014	462.5901
Th	04/24/2014	476.5200
We	04/23/2014	492.0200
Tu	04/22/2014	496.1801
Mo	04/21/2014	503.1801
		
Fr	04/18/2014	476.1701
Th	04/17/2014	496.8101
We	04/16/2014	527.1401
Tu	04/15/2014	517.6000
		
Fr	04/11/2014	426.5300
Th	04/10/2014	376.9000
We	04/09/2014	428.9000
Tu	04/08/2014	452.6200
Mo	04/07/2014	454.2001
		
Fr	04/04/2014	455.2700
Th	04/03/2014	436.2301
We	04/02/2014	429.8600
Tu	04/01/2014	482.2301
Mo	03/31/2014	465.7501
		
Fr	03/28/2014	504.0001
Th	03/27/2014	513.5801
We	03/26/2014	561.6201
Tu	03/25/2014	572.0001
Mo	03/24/2014	582.4501
		
Fr	03/21/2014	571.7101
Th	03/20/2014	581.8401
We	03/19/2014	603.8500
Tu	03/18/2014	617.8601
Mo	03/17/2014	613.0001
		
Fr	03/14/2014	635.5001
