weekday,date,price_usd
Th,07-03-13,42
Fr,08-03-13,44.18
Mo,11-03-13,48.4
Tu,12-03-13,44.29
We,13-03-13,46.92
Th,14-03-13,47.17
Fr,15-03-13,46.95
Mo,18-03-13,51.6
Tu,19-03-13,59.14
We,20-03-13,64.49
Th,21-03-13,70.85
Fr,22-03-13,69.87
Mo,25-03-13,73.6
Tu,26-03-13,78.5
We,27-03-13,88.92
Th,28-03-13,86.18
Fr,29-03-13,90.5
Mo,01-04-13,102
Tu,02-04-13,132
We,03-04-13,131.79
Th,04-04-13,136
Fr,05-04-13,142.5
Mo,08-04-13,191.73
Tu,09-04-13,234.25
We,10-04-13,181.69
Th,11-04-13,99.62
Fr,12-04-13,110
Mo,15-04-13,91
Tu,16-04-13,75.6
We,17-04-13,91.98
Th,18-04-13,126.5
Fr,19-04-13,118
Mo,22-04-13,127.9
Tu,23-04-13,145.38
We,24-04-13,156.01
Th,25-04-13,129.78
Fr,26-04-13,136.8
Mo,29-04-13,144.5
Tu,30-04-13,133.75
We,01-05-13,118.74
Th,02-05-13,95.46
Fr,03-05-13,101.72
Mo,06-05-13,109.49
Tu,07-05-13,111.01
We,08-05-13,111.9
Th,09-05-13,112.5
Fr,10-05-13,114.1
Mo,13-05-13,118.29
Tu,14-05-13,113
We,15-05-13,114.2
Th,16-05-13,117.49
Fr,17-05-13,123.13
Mo,20-05-13,122.4
Tu,21-05-13,123.1
We,22-05-13,124.2
Th,23-05-13,126.56
Fr,24-05-13,132
Mo,27-05-13,127.81
Tu,28-05-13,128.84
We,29-05-13,130.55
Th,30-05-13,127.99
Fr,31-05-13,127.2
Mo,03-06-13,121.66
Tu,04-06-13,120.82
We,05-06-13,121.5
Th,06-06-13,118.86
Fr,07-06-13,110.8
Mo,10-06-13,105.3
Tu,11-06-13,108
We,12-06-13,108.36
Th,13-06-13,103
Fr,14-06-13,98.62
Mo,17-06-13,103.22
Tu,18-06-13,109.15
We,19-06-13,108
Th,20-06-13,112.51
Fr,21-06-13,108.94
Mo,24-06-13,104.56
Tu,25-06-13,103.96
We,26-06-13,102.99
Th,27-06-13,97.33
Fr,28-06-13,96.99
Mo,01-07-13,89.2
Tu,02-07-13,90
We,03-07-13,76.3
Th,04-07-13,77.48
Fr,05-07-13,69.93
Mo,08-07-13,76
Tu,09-07-13,76.88
We,10-07-13,87
Th,11-07-13,99.1
Fr,12-07-13,90.9
Mo,15-07-13,98.98
Tu,16-07-13,98.95
We,17-07-13,92
Th,18-07-13,89.03
Fr,19-07-13,92.3
Mo,22-07-13,92.77
Tu,23-07-13,89.88
We,24-07-13,90.41
Th,25-07-13,91.53
Fr,26-07-13,89.34
Mo,29-07-13,94.32
Tu,30-07-13,98.98
We,31-07-13,97.25
Th,01-08-13,95.55
Fr,02-08-13,96.66
Mo,05-08-13,98.56
Tu,06-08-13,97.24
We,07-08-13,97.08
Th,08-08-13,94.87
Fr,09-08-13,93.81
Mo,12-08-13,95.52
Tu,13-08-13,99.65
We,14-08-13,99.5
Th,15-08-13,99.06
Fr,16-08-13,98.48
Mo,19-08-13,103.18
Tu,20-08-13,106.18
We,21-08-13,111.53
Th,22-08-13,108
Fr,23-08-13,107.76
Mo,26-08-13,115.69
Tu,27-08-13,117.65
We,28-08-13,118.48
Th,29-08-13,118.6
Fr,30-08-13,126.02
Mo,02-09-13,129.4
Tu,03-09-13,129.69
We,04-09-13,121.94
Th,05-09-13,122.49
Fr,06-09-13,117.9
Mo,09-09-13,123.12
Tu,10-09-13,122.65
We,11-09-13,126.61
Th,12-09-13,127.1
Fr,13-09-13,127
Mo,16-09-13,126.32
Tu,17-09-13,126.86
We,18-09-13,127.31
Th,19-09-13,124.1
Fr,20-09-13,121.7
Mo,23-09-13,122.99
Tu,24-09-13,124.65
We,25-09-13,124.33
Th,26-09-13,126.4
Fr,27-09-13,126.1
Mo,30-09-13,127.09
Tu,01-10-13,127.42
We,02-10-13,112.75
Th,03-10-13,119.12
Fr,04-10-13,122.06
Mo,07-10-13,123.71
Tu,08-10-13,124.99
We,09-10-13,126
Th,10-10-13,126.28
Fr,11-10-13,126.85
Mo,14-10-13,135.89
Tu,15-10-13,147.15
We,16-10-13,140.68
Th,17-10-13,143.77
Fr,18-10-13,160.07
Mo,21-10-13,191.58
