date	nTweets	googleSearch	wikiViews	totalTweets	nUsersFiltered	nUsersFilteredNet	nDownloads	nFBShares
2009-09-01	52	0	7	15003294	5304	452	0	0
2009-09-02	50	0	12	15961938	5322	453	0	0
2009-09-03	43	0	11	15209454	5333	453	0	0
2009-09-04	46	0	7	13477710	5357	454	0	0
2009-09-05	32	0	8	13173624	5379	454	0	0
2009-09-06	39	0	10	17126742	5390	456	0	0
2009-09-07	32	0	14	16219638	5410	456	0	0
2009-09-08	52	0	7	15961938	5428	458	0	0
2009-09-09	64	0	17	16003170	5435	458	0	0
2009-09-10	58	0	9	16168098	5449	458	0	0
2009-09-11	59	0	13	13771488	5465	459	0	0
2009-09-12	65	0	10	13627176	5485	460	0	0
2009-09-13	38	0	11	15843396	5505	461	0	0
2009-09-14	70	0	12	16889658	5523	461	0	0
2009-09-15	75	0	10	17291670	5537	461	0	0
2009-09-16	57	0	5	17003046	5559	462	0	0
2009-09-17	76	0	13	17008200	5581	462	0	0
2009-09-18	85	0	9	15054834	5606	463	0	0
2009-09-19	62	0	4	15008448	5625	463	0	0
2009-09-20	36	0	8	17296824	5646	465	0	0
2009-09-21	63	0	12	17224668	5666	468	0	0
2009-09-22	72	0	7	17415366	5687	468	0	0
2009-09-23	77	0	0	17740068	5700	470	0	0
2009-09-24	76	0	15	18173004	5739	477	0	0
2009-09-25	80	0	0	14822904	5773	481	0	0
2009-09-26	62	0	0	14910522	5813	487	0	0
2009-09-27	53	0	0	16693806	5840	492	0	0
2009-09-28	74	0	21	16961814	5867	492	0	0
2009-09-29	83	0	17	17003046	5899	498	0	0
2009-09-30	63	0	15	16183560	5930	504	0	0
2009-10-01	54	0	4	17446290	5957	507	0	0
2009-10-02	83	0	7	14735286	5991	507	0	0
2009-10-03	75	0	11	14606436	6027	509	0	0
2009-10-04	42	0	18	15678468	6058	510	0	0
2009-10-05	70	0	13	17204052	6092	511	0	0
2009-10-06	73	0	8	17126742	6117	511	0	0
2009-10-07	92	0	12	16894812	6153	512	0	0
2009-10-08	80	0	6	17595756	6185	512	0	0
2009-10-09	88	0	5	15137298	6223	513	0	0
2009-10-10	77	0	5	14152884	6262	514	0	0
2009-10-11	50	0	10	16869042	6306	514	0	0
2009-10-12	68	0	7	17095818	6333	515	0	0
2009-10-13	81	0	20	15704238	6366	515	0	0
2009-10-14	69	0	0	17301978	6408	517	0	0
2009-10-15	85	0	0	17296824	6443	520	0	0
2009-10-16	82	0	0	14709516	6471	523	0	0
2009-10-17	75	0	12	14992986	6501	525	0	0
2009-10-18	44	0	54	17023662	6540	528	0	0
