Date,New Topics,New Posts,New Members
07.01.17,414,10299,442
06.01.17,486,11128,510
05.01.17,451,12666,475
04.01.17,562,12906,518
03.01.17,457,10741,427
02.01.17,422,10070,404
01.01.17,317,7948,287
31.12.16,356,8262,297
30.12.16,397,9845,436
29.12.16,414,10332,454
28.12.16,417,10767,414
27.12.16,412,10664,381
26.12.16,359,9617,425
25.12.16,329,8647,272
24.12.16,387,9498,367
23.12.16,432,11241,415
22.12.16,450,11836,396
21.12.16,462,11254,350
20.12.16,394,10536,352
19.12.16,350,10110,337
18.12.16,365,9979,297
17.12.16,405,9557,306
16.12.16,423,10087,383
15.12.16,405,10441,375
14.12.16,362,10788,357
13.12.16,398,10603,383
12.12.16,418,10623,376
11.12.16,366,10319,313
10.12.16,395,9449,372
09.12.16,398,10419,367
08.12.16,379,10126,398
07.12.16,369,10448,382
06.12.16,443,10366,343
05.12.16,390,10076,342
04.12.16,350,9813,252
03.12.16,330,9106,329
02.12.16,410,10318,352
01.12.16,414,10213,376
30.11.16,386,10683,389
29.11.16,374,10604,366
28.11.16,389,10547,394
27.11.16,370,10311,315
26.11.16,401,9662,351
25.11.16,407,10100,356
24.11.16,467,11366,405
23.11.16,476,11345,439
22.11.16,420,10742,472
21.11.16,375,9834,406
20.11.16,348,9566,367
19.11.16,360,9311,385
18.11.16,333,10360,348
17.11.16,366,10017,363
16.11.16,414,10648,341
15.11.16,376,10697,360
14.11.16,351,9816,367
13.11.16,312,9816,318
12.11.16,348,9502,320
11.11.16,358,9981,323
10.11.16,378,10546,368
09.11.16,412,9932,359
08.11.16,411,10133,384
07.11.16,405,10486,386
06.11.16,344,9740,325
05.11.16,357,9372,367
04.11.16,382,10100,394
03.11.16,494,10164,511
02.11.16,409,10033,385
01.11.16,372,10001,323
31.10.16,229,6060,130
30.10.16,229,7096,231
29.10.16,294,9289,289
28.10.16,360,11025,324
27.10.16,441,10714,375
26.10.16,442,11235,353
25.10.16,422,11481,349
24.10.16,411,10444,351
23.10.16,364,9806,298
22.10.16,368,9546,344
21.10.16,395,10451,354
20.10.16,392,11294,361
19.10.16,391,10459,339
18.10.16,404,10701,352
17.10.16,427,11052,361
16.10.16,434,10967,291
15.10.16,395,10762,350
14.10.16,455,11308,369
13.10.16,455,11659,345
12.10.16,448,11123,300
11.10.16,410,11517,285
10.10.16,451,10909,341
09.10.16,358,9666,302
08.10.16,456,10018,335
07.10.16,369,10774,312
06.10.16,493,11013,324
05.10.16,421,10889,337
04.10.16,368,10652,305
03.10.16,405,10174,338
02.10.16,366,9445,284
01.10.16,379,9450,306
30.09.16,371,10091,298
29.09.16,422,10826,329
28.09.16,436,11169,304
27.09.16,434,10418,332
