Date,"Bitcoin"
2017-01-22,4771
2017-01-23,8311
2017-01-24,7303
2017-01-25,6426
2017-01-26,6106
2017-01-27,6523
2017-01-28,6446
2017-01-29,4847
2017-01-30,7015
2017-01-31,7435
2017-02-01,7473
2017-02-02,6852
2017-02-03,6243
2017-02-04,4773
2017-02-05,4800
2017-02-06,6973
2017-02-07,7296
2017-02-08,6956
2017-02-09,7472
2017-02-10,6763
2017-02-11,4297
2017-02-12,4696
2017-02-13,6773
2017-02-14,6434
2017-02-15,6750
2017-02-16,6923
2017-02-17,8394
2017-02-18,6578
2017-02-19,4604
2017-02-20,6580
2017-02-21,7208
2017-02-22,6878
2017-02-23,7349
2017-02-24,7881
2017-02-25,10297
2017-02-26,9534
2017-02-27,8742
2017-02-28,9336
2017-03-01,11164
2017-03-02,10015
2017-03-03,18852
2017-03-04,9545
2017-03-05,6866
2017-03-06,10524
2017-03-07,8856
2017-03-08,8140
2017-03-09,8440
2017-03-10,11287
2017-03-11,6824
2017-03-12,5992
2017-03-13,9300
2017-03-14,12543
2017-03-15,11061
2017-03-16,9954
2017-03-17,9310
2017-03-18,11156
2017-03-19,11590
2017-03-20,16779
2017-03-21,14877
2017-03-22,12929
2017-03-23,13286
2017-03-24,11825
2017-03-25,10136
2017-03-26,10938
2017-03-27,12352
2017-03-28,9855
2017-03-29,7856
2017-03-30,8328
2017-03-31,7528
2017-04-01,6211
2017-04-02,5558
2017-04-03,8468
2017-04-04,10324
2017-04-05,7446
2017-04-06,7335
2017-04-07,6597
2017-04-08,5334
2017-04-09,5078
2017-04-10,7475
2017-04-11,10359
2017-04-12,7502
2017-04-13,7092
2017-04-14,6049
2017-04-15,4670
2017-04-16,4603
2017-04-17,9400
2017-04-18,10592
2017-04-19,7757
2017-04-20,7344
2017-04-21,6747
2017-04-22,4614
2017-04-23,4809
2017-04-24,9350
2017-04-25,9756
2017-04-26,7410
2017-04-27,7256
2017-04-28,6816
2017-04-29,4838
2017-04-30,9390
2017-05-01,6761
2017-05-02,8729
2017-05-03,8848
2017-05-04,9604
2017-05-05,8156
2017-05-06,6160
2017-05-07,6398
2017-05-08,9934
2017-05-09,11914
2017-05-10,12250
2017-05-11,11255
2017-05-12,19593
2017-05-13,18259
2017-05-14,15940
2017-05-15,45033
2017-05-16,42741
2017-05-17,29475
2017-05-18,22394
2017-05-19,18331
2017-05-20,11714
2017-05-21,11283
2017-05-22,39609
2017-05-23,33868
2017-05-24,30478
2017-05-25,32337
2017-05-26,24637
2017-05-27,13974
2017-05-28,10498
2017-05-29,15624
2017-05-30,17882
2017-05-31,17161
2017-06-01,14860
2017-06-02,13082
2017-06-03,9823
2017-06-04,8569
2017-06-05,14657
2017-06-06,17868
2017-06-07,16690
2017-06-08,14134
2017-06-09,12277
2017-06-10,8893
2017-06-11,10610
2017-06-12,18324
2017-06-13,16278
2017-06-14,14389
2017-06-15,14811
2017-06-16,13996
2017-06-17,8282
2017-06-18,8307
2017-06-19,13044
2017-06-20,15233
2017-06-21,18135
2017-06-22,16316
2017-06-23,12106
2017-06-24,8558
2017-06-25,8146
2017-06-26,12177
2017-06-27,16983
2017-06-28,21468
2017-06-29,16552
2017-06-30,12284
2017-07-01,8974
2017-07-02,10559
2017-07-03,12400
2017-07-04,11898
2017-07-05,13515
2017-07-06,14077
2017-07-07,11601
2017-07-08,8094
2017-07-09,8033
2017-07-10,13131
2017-07-11,14586
2017-07-12,13805
2017-07-13,13828
2017-07-14,11931
2017-07-15,7629
2017-07-16,7909
2017-07-17,12866
2017-07-18,16899
2017-07-19,18749
2017-07-20,18319
2017-07-21,12613
2017-07-22,9032
2017-07-23,12901
2017-07-24,14985
2017-07-25,13519
2017-07-26,14223
2017-07-27,14698
2017-07-28,11808
2017-07-29,9131
2017-07-30,21818
2017-07-31,12874
2017-08-01,37244
2017-08-02,58538
2017-08-03,16540
2017-08-04,11878
2017-08-05,10397
2017-08-06,9147
2017-08-07,16011
2017-08-08,18393
2017-08-09,16786
2017-08-10,15425
2017-08-11,14393
2017-08-12,9843
2017-08-13,12759
2017-08-14,25279
2017-08-15,21174
2017-08-16,19179
2017-08-17,17470
2017-08-18,16725
2017-08-19,11783
2017-08-20,12091
2017-08-21,17716
2017-08-22,19018
2017-08-23,18121
2017-08-24,17619
2017-08-25,14963
2017-08-26,10208
2017-08-27,9583
2017-08-28,14840
2017-08-29,17010
2017-08-30,17493
2017-08-31,18540
2017-09-01,16141
2017-09-02,11711
2017-09-03,11259
2017-09-04,16685
2017-09-05,18620
2017-09-06,18566
2017-09-07,20209
2017-09-08,14993
2017-09-09,10360
2017-09-10,10434
2017-09-11,15241
2017-09-12,17232
2017-09-13,24186
2017-09-14,21858
2017-09-15,20277
2017-09-16,11841
2017-09-17,11719
2017-09-18,19206
2017-09-19,17968
2017-09-20,16434
2017-09-21,14691
2017-09-22,13624
2017-09-23,8384
2017-09-24,8721
2017-09-25,13280
2017-09-26,13487
2017-09-27,15742
2017-09-28,13078
2017-09-29,12279
2017-09-30,8135
2017-10-01,9081
2017-10-02,12705
2017-10-03,13635
2017-10-04,13832
2017-10-05,13215
2017-10-06,11624
2017-10-07,8713
2017-10-08,8857
2017-10-09,13956
2017-10-10,14720
2017-10-11,16682
2017-10-12,22841
2017-10-13,23931
2017-10-14,14045
2017-10-15,13513
2017-10-16,20841
2017-10-17,19376
2017-10-18,17179
2017-10-19,16959
2017-10-20,17772
2017-10-21,14403
2017-10-22,14317
2017-10-23,22464
2017-10-24,21733
2017-10-25,20227
2017-10-26,18629
2017-10-27,17333
2017-10-28,10729
2017-10-29,11513
2017-10-30,20065
2017-10-31,21624
2017-11-01,24159
2017-11-02,32638
2017-11-03,26416
2017-11-04,15864
2017-11-05,15093
2017-11-06,23054
2017-11-07,22483
2017-11-08,24324
2017-11-09,23713
2017-11-10,22099
2017-11-11,14428
2017-11-12,14442
2017-11-13,24940
2017-11-14,26211
2017-11-15,20370
2017-11-16,21563
2017-11-17,24310
2017-11-18,15944
2017-11-19,16109
2017-11-20,25630
2017-11-21,26799
2017-11-22,22772
2017-11-23,18202
2017-11-24,17229
2017-11-25,14270
2017-11-26,20596
2017-11-27,53507
2017-11-28,61180
2017-11-29,106446
2017-11-30,79792
2017-12-01,56531
2017-12-02,33117
2017-12-03,33242
2017-12-04,67545
2017-12-05,62375
2017-12-06,72927
2017-12-07,135101
2017-12-08,124558
2017-12-09,55829
2017-12-10,53375
2017-12-11,112077
2017-12-12,102247
2017-12-13,80653
2017-12-14,64405
2017-12-15,52494
2017-12-16,34587
2017-12-17,34554
2017-12-18,57386
2017-12-19,62373
2017-12-20,61902
2017-12-21,57228
2017-12-22,57584
2017-12-23,38038
2017-12-24,26524
2017-12-25,47082
2017-12-26,58166
2017-12-27,36870
2017-12-28,33722
2017-12-29,29516
2017-12-30,21896
2017-12-31,17581
2018-01-01,20333
2018-01-02,39540
2018-01-03,48540
2018-01-04,39119
2018-01-05,35092
2018-01-06,32717
2018-01-07,29904
2018-01-08,42005
2018-01-09,44503
2018-01-10,50096
2018-01-11,39194
2018-01-12,34778
